Transaction List

User ID,Date,Time,Total,Staff Member,Vendor,Company
161,"2019-09-13","16:32:13.052570",1000,"Rose","vendor","seplat"
165,"2019-09-13","17:43:49.315091",2000,"stan","vendor","seplat"
162,"2019-09-14","00:20:44.182331",1000,"Adenike","vendor","seplat"
166,"2019-09-13","18:09:32.088773",1000,"stan","vendor","seplat"
163,"2019-09-13","17:39:11.381917",2000,"stan","vendor","seplat"
167,"2019-09-15","17:03:14.307686",500,"Rose","vendor","seplat"
156,"2019-09-04","19:13:37.494935",7500,"stanley","vendor","seplat"
164,"2019-09-13","17:42:00.612681",2000,"stan","vendor","seplat"
155,"2019-09-04","18:44:29.912252",500,"stanley","vendor","seplat"
157,"2019-09-05","01:02:03.557387",2500,"Rose","vendor","seplat"
158,"2019-09-05","01:02:05.022574",2500,"Rose","vendor","seplat"
159,"2019-09-12","16:17:10.182848",1000,"Rose","vendor","seplat"
160,"2019-09-12","16:17:17.633879",1000,"Rose","vendor","seplat"
168,"2019-09-15","17:20:56.491830",14000,"SOLOMON","vendor","seplat"
169,"2019-09-15","17:21:04.450245",14000,"SOLOMON","vendor","seplat"
170,"2019-09-15","17:21:16.528203",14000,"SOLOMON","vendor","seplat"
171,"2019-09-15","17:21:54.592611",3000,"SOLOMON","vendor","seplat"
172,"2019-09-15","17:25:06.868993",5000,"Rose","vendor","seplat"
173,"2019-09-15","17:25:42.010178",500,"Rose","vendor","seplat"
